,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
156,Sulangan,11.14,123.72,83.55,74,89,10.78,PH,1603314090
157,Glenwood Springs,39.55,-107.32,65.32,16,1,14.99,US,1603313798
158,Mandalgovi,45.76,106.27,23.02,88,0,5.01,MN,1603313609
159,Hanzhong,33.07,107.03,52.9,68,0,1.21,CN,1603314094
160,Merzifon,40.87,35.46,50.0,81,18,2.04,TR,1603314095
161,Grand Gaube,-20.01,57.66,73.0,82,69,1.99,MU,1603314096
162,Lompoc,34.64,-120.46,65.75,68,1,9.17,US,1603314098
163,Muros,42.78,-9.06,57.63,88,1,10.0,ES,1603314099
164,Ternate,0.8,127.4,80.42,79,85,3.38,ID,1603314100
165,Salym,60.06,71.48,31.26,99,100,2.53,RU,1603314102
166,Ostrovnoy,68.05,39.51,30.09,97,92,7.94,RU,1603313824
167,Nioro,13.35,-15.75,80.37,79,82,7.16,GM,1603314105
168,Matagami,49.75,-77.63,35.6,93,90,2.24,CA,1603314106
169,Nabire,-3.37,135.48,74.89,89,81,3.62,ID,1603314107
170,Luwuk,-0.95,122.79,76.1,72,85,3.56,ID,1603314109
171,Isangel,-19.55,169.27,80.6,78,20,6.93,VU,1603314110
172,Bad Reichenhall,47.73,12.88,50.05,76,7,11.41,DE,1603314078
173,Aklavik,68.22,-135.01,19.4,85,75,3.36,CA,1603314112
174,Udachny,66.42,112.4,1.4,91,90,3.89,RU,1603314114
175,Gazojak,41.19,61.4,47.35,61,47,6.15,TM,1603314115
176,Mackenzie,55.3,-123.17,26.6,45,90,4.7,CA,1603314116
177,Pacific Grove,36.62,-121.92,68.43,63,1,4.7,US,1603313986
178,Codrington,-38.27,141.97,46.96,87,69,6.91,AU,1603314118
179,Itarema,-2.92,-39.92,80.1,78,69,15.82,BR,1603314120
180,Wewak,-3.55,143.63,77.14,86,100,7.34,PG,1603314121
181,Gimli,50.63,-96.99,34.03,98,79,3.0,CA,1603313949
182,Xining,36.62,101.77,37.76,63,0,2.48,CN,1603314123
183,Airai,-8.93,125.41,59.72,76,5,1.14,TL,1603314124
184,Katobu,-4.94,122.53,73.74,88,75,1.5,ID,1603314126
185,Safi,32.3,-9.24,67.44,84,97,15.66,MA,1603313587
186,Faya,18.39,42.45,64.4,17,0,10.29,SA,1603314128
187,Zaykovo,57.56,62.76,31.46,96,61,5.64,RU,1603314129
188,Yumen,40.28,97.2,35.56,69,0,5.75,CN,1603314131
189,Lubao,14.92,120.55,78.8,94,75,6.93,PH,1603314132
190,Bonavista,48.65,-53.11,45.0,87,58,1.99,CA,1603314114
191,Bilma,18.69,12.92,81.95,14,0,6.08,NE,1603314136
192,Zhizdra,53.75,34.74,41.92,96,100,4.99,RU,1603314137
193,Roebourne,-20.78,117.13,67.71,45,78,8.05,AU,1603314138
194,Malakal,9.53,31.66,74.37,88,99,3.56,SS,1603314139
195,Berdigestyakh,62.1,126.7,10.15,96,76,3.38,RU,1603314140
196,Siliguri,26.7,88.43,72.05,71,0,5.17,IN,1603314142
197,Manokwari,-0.87,134.08,79.72,67,99,3.44,ID,1603314143
198,Horki,54.29,30.98,40.77,96,100,4.45,BY,1603314144
199,Tver',56.86,35.89,36.5,97,100,5.79,RU,1603313921
200,Berlevåg,70.86,29.09,24.6,86,40,12.75,NO,1603314110
